usms,x_first_corner,y_first_corner,x_last_corner,y_last_corner
usm_1,0,0,119.99904000767995,80.0
usm_2,0,0,89.99928000575994,80.0
usm_3,0,0,60.000240000960005,80.0
usm_4,0,0,33.75003375003375,160.0
usm_5,0,0,44.99964000287997,80.0
usm_6,0,0,45.000045000045,40.0
usm_7,0,0,160.0,33.75003375003375
usm_8,0,0,80.0,44.99964000287997
usm_9,0,0,40.0,45.000045000045
usm_10,0,0,44.99964000287997,480.0
usm_11,0,0,44.99964000287997,480.0
usm_12,0,0,44.99964000287997,400.0
usm_13,0,0,44.99964000287997,400.0
usm_14,0,0,44.99964000287997,320.0
usm_15,0,0,44.99964000287997,320.0
usm_16,0,0,44.99964000287997,400.0
usm_17,0,0,44.99964000287997,400.0
usm_18,0,0,44.99964000287997,320.0
usm_19,0,0,44.99964000287997,320.0
usm_20,0,0,44.99964000287997,240.00000000000003
usm_21,0,0,44.99964000287997,240.00000000000003
usm_22,0,0,44.99964000287997,320.0
usm_23,0,0,44.99964000287997,320.0
usm_24,0,0,44.99964000287997,240.00000000000003
usm_25,0,0,44.99964000287997,240.00000000000003
usm_26,0,0,44.99964000287997,160.0
usm_27,0,0,44.99964000287997,160.0
usm_28,0,0,480.0,44.99964000287997
usm_29,0,0,480.0,44.99964000287997
usm_30,0,0,400.0,44.99964000287997
usm_31,0,0,400.0,44.99964000287997
usm_32,0,0,320.0,44.99964000287997
usm_33,0,0,320.0,44.99964000287997
usm_34,0,0,400.0,44.99964000287997
usm_35,0,0,400.0,44.99964000287997
usm_36,0,0,320.0,44.99964000287997
usm_37,0,0,320.0,44.99964000287997
usm_38,0,0,240.00000000000003,44.99964000287997
usm_39,0,0,240.00000000000003,44.99964000287997
usm_40,0,0,320.0,44.99964000287997
usm_41,0,0,320.0,44.99964000287997
usm_42,0,0,240.00000000000003,44.99964000287997
usm_43,0,0,240.00000000000003,44.99964000287997
usm_44,0,0,160.0,44.99964000287997
usm_45,0,0,160.0,44.99964000287997
